FACTURA	ENTRADA	POSICION	NOTA	DEV	POSICION DEV	NOTA
1da87584-e6c0-418f-9868-1e9a149288fa	5000352610	*	085bfc0d-f3f5-4579-8f96-2ee587a90834	*		
9cd36386-6064-4c54-9925-657df5344f77	5000036871	*	9f1a9c19-3137-42fd-89bd-15960bec6872	*		
7942d52e-3b7c-4e85-b5ef-36f40e203e3d	5000362825	*	4b035871-96d4-4485-bb75-b13da8359d78	*		
f54bf8e1-14bb-4511-92d2-41b55ab63fd2	5000364769	*	0008f63d-a0a9-4d19-8204-0208d9c9e288	*		
fd052239-5299-44b3-8396-1d7362066bf1	5000366350	*	a4611755-3241-41d4-9772-ff39ad941248	*		
1eb13043-1e1a-4507-bd7b-01790d32ad3c	5000406043	*	dd196068-db8c-47d5-9d0f-54b9ead0bafe	*		
2c58bc21-1d5a-4f00-a225-da3a44176c88	5000382728	*	15356388-338a-4379-9011-99d8fca5bdc2	*		
c9a0277e-c17e-4258-8ee1-55a8e7beccc1	5003833751	*	2c136148-2e29-461d-8cfd-d4f277a47411	*		
bb5266d2-10cc-4df1-88d9-febc34fd7165	5000382808	*	5371189c-e871-4a05-8bc8-35cf1356b6fb	*		
0389d0de-3109-4d16-a482-1e186fd59e89	5000382425	*	ec467954-e057-4701-a59b-3e2927ced4ac	*		
cf91e5ac-8479-425e-bd51-e9b0956b9d73	5000033866	*	fd56a5d3-1288-405a-9b88-39d06ecf5f5f	*		
ef8b6af5-bab8-42b7-9d58-401457de60b2	5000384039	*	334c27e3-8342-4fbb-aa9b-403be549a35e	*		
9c193bea-a6f5-47fb-9aed-0048e8969bfe	5000388182	*	da26b825-656d-46ca-951e-f46ef9b50994	*		
cbff18a0-36e5-469d-b14b-f6f725f209f9	5000392291	*	cd65cc6a-9df0-44db-a735-399b72ce1930	*		
d70611e8-85a5-42ef-909b-00ee07bead59	5000392065	*	2b4ef335-005c-4569-ac1d-d4b37297ba5c	*		
f6489ced-7ace-4e13-936e-371cf5957ae7	5000393241	*	a1bc5745-f978-4842-b92b-f40c99643294	*		
527e37da-5925-44fc-abfb-f1f8953da4c0	5000391950	*	429471a3-552a-4c6e-a158-8c28e3d5b5e8	*		
985c5729-a41b-46db-aa5c-5b7a7b7662d4	5000393676	*	79df0346-b712-4fcf-bd29-07c666e1f057	*		
cd7532ec-25cd-47c1-b665-860ef8280b46	5000393946	*	4df79884-2435-40a3-be71-0f017dfdf8cc	*		
917edabb-08ce-426f-8cac-1c78b42bcde8	5000392156	*	c5ad9a51-ade5-4c37-8700-a151193a9241	*		
5bddc2ad-cbab-4d27-a5ce-24a4f8d93616	5000392130	*	ae597ef6-ee37-47eb-b6cb-0cc7fb487448	*		
f064f83a-e4a2-4d53-90ac-928fd691a955	5000391270	*	b6b7d5cb-9907-41ac-b338-5ca83cf405d4	*		
aea6d8bd-83d5-4b3e-8c30-f6a07da2af28	5000391129	*	bd3f1877-560f-483e-8528-8ea1e65dda4f	*		
c4b5d0b0-6206-49d6-be7f-383488801660	5000391381	*	f5c35144-3c1b-4892-b052-f044a5ca379c	*		
14b0d607-a9e9-4107-9f1c-f3a20d1071e0	5000391288	*	3aab1d0c-1d9b-4648-bde3-ac9c19879cda	*		
8c63bf17-eb89-461f-9586-9335a95da14e	5000392995	*	d45812cd-eb77-428a-aabd-8ba716eea92b	*		
8e86a7fa-e739-46db-b827-c6fe509bd93f	5000394257	*	09e094e8-7aea-4c1b-a7c1-ed3d0e1345b3	*		
e5a11379-5f0e-41d6-8182-cd60b14bd82d	5000393850	*	caf63246-6025-49b0-8a9e-280d051f6360	*		
75a3dc6f-691d-4b56-a417-d1ba15ac2288	5000393981	*	06327237-4f16-480c-b5dc-10cdb895f251	*		
0e820df4-c95e-4974-867b-f1821347fec7	5000394045	*	b2e0bd0f-efbe-4411-8475-bc26fc61d9ae	*		
4cc21422-292a-4ec7-9391-23c843a65535	5000394287	*	988bbfd7-8b6b-48fa-a2ae-ddb1dde40622	*		
136ef95a-7bb1-4e6b-92d7-d8bf75052f0a	5000393612	*	8f6bf789-cdc9-460a-a3be-dbd643acc9a8	*		
49970c53-d742-46f0-9b85-ea976f657142	5000394229	*	fb846b69-af3f-4608-b9bd-11edb546dd08	*		
cfa49fe3-bf11-46be-b6e3-572fb487b59a	5000393817	*	7b927086-d555-4c29-b90a-f963cb23b3a2	*		
eb4fff22-e0ce-4484-a78e-54766945a961	5000393338	*	666c7638-f42f-42b2-81d6-1ce841ec4610	*		
c31fc416-46d5-47d7-85bf-2a6fc3c3f7d5	5000380104	*	b5fe32d6-d040-455e-be7b-f8f67420b364	*		
63b60374-a4d8-4625-b3a8-4f15f5835171	5000392721	*	f6af57ee-3d43-47bb-8e36-f95e0dd3d4cf	*		
a9a83252-a597-4a6d-9c2c-1a34a7403d4f	5000392665	*	68e22e59-1047-465d-be90-65d874b0aced	*		
a4fa2d36-ab91-4a9b-ae5e-3eaaeb6db366	5000392099	*	a84a2768-aca2-4fe6-bab6-880ccaca3e28	*		
db82602f-80f0-42ba-a0fc-5eafa48a9017	5000392681	*	15082cff-043d-4327-89d9-26cd465f9b2c	*		
48dde55d-558e-4197-b217-4c1124d29ccc	5000392988	*	663dfc00-cfac-49f1-91e2-659ec947fa8d	*		
677c93d3-4d3b-4b15-8556-663c3e674c26	5000392520	*	52f6253f-c034-4d6f-b993-1e665a7e78bc	*		
89d0e6bc-63ef-4b55-8281-13d5e462d9d0	5000395915	*	cfbe369e-94a5-49a6-ad79-f00dfc8172c8	*		
b545add4-bd3b-40c6-a84b-3987d446e324	5000394245	*	e532dd51-bf65-4fb7-ab7c-e96d388db541	*		
c1f70ebe-b922-41c4-92da-3d701a554fcf	5000393423	*	32cd09d6-a2f5-489e-b4c1-c893ec559aae	*		
7d99d2b4-35a2-4d2b-ab2e-659dba50c0ab	5000393854	*	e65ae304-c207-4117-b688-1a1c67dda6eb	*		
fb05218b-f696-4d91-80aa-3e9129e2206a	5000393881	*	4e069182-ebd4-4606-8133-62c797f48f1b	*		
044073a2-27a3-4d71-b7f4-cf7d5e0f3b6a	5000393868	*	f5af1e4e-2935-4343-b36b-f09a5e718be6	*		
7d3eedf9-ffc2-4f27-a1ab-45d0b7902201	5000393901	*	22de08ba-36a1-48d5-8a94-38d8ca9905af	*		
cd88b070-82a5-4a26-b6be-4a72e0eae2d9	5000392986	*	61b9b5cd-6678-4e0f-ae52-a1975c19a939	*		
d2d8206c-5970-453d-9836-881a5d5994d9	5000393726	*	54b0d3c1-5aa2-49e9-b510-72f40aaa7308	*		
